date,region,product_id,inventory_available,inventory_capacity,stockout_hours
2026-03-01,Region D,P019,123,131,1.89
2026-03-01,Region D,P020,108,114,0.0
2026-03-01,Region D,P021,101,105,0.57
2026-03-01,Region D,P022,125,132,0.86
2026-03-01,Region D,P023,101,106,0.83
2026-03-01,Region D,P024,100,104,0.33
2026-03-01,Region D,P025,142,150,1.01
2026-03-01,Region D,P026,142,146,0.81
2026-03-01,Region D,P027,86,91,1.92
2026-03-01,Region D,P028,129,134,2.04
2026-03-01,Region D,P029,80,85,2.16
2026-03-01,Region D,P030,82,86,0.83
2026-03-02,Region A,P001,114,119,0.65
2026-03-02,Region A,P002,147,150,0.25
2026-03-02,Region A,P003,82,83,0.72
2026-03-02,Region A,P004,133,136,0.45
2026-03-02,Region A,P005,86,92,0.37
2026-03-02,Region A,P006,105,111,0.97
2026-03-02,Region A,P007,123,126,0.27
2026-03-02,Region A,P008,97,100,1.09
2026-03-02,Region A,P009,147,156,0.05
2026-03-02,Region A,P010,83,86,0.78
2026-03-02,Region A,P011,95,99,1.19
2026-03-02,Region A,P012,79,81,0.0
2026-03-02,Region A,P013,135,142,0.89
2026-03-02,Region A,P014,111,114,0.33
2026-03-02,Region A,P015,129,132,0.93
2026-03-02,Region A,P016,126,134,2.42
2026-03-02,Region A,P017,85,89,0.25
2026-03-02,Region A,P018,117,124,1.26
2026-03-02,Region A,P019,83,85,0.36
2026-03-02,Region A,P020,76,81,2.1
2026-03-02,Region A,P021,83,86,0.91
2026-03-02,Region A,P022,142,146,0.79
2026-03-02,Region A,P023,145,154,1.24
2026-03-02,Region A,P024,82,88,1.28
2026-03-02,Region A,P025,121,123,0.99
2026-03-02,Region A,P026,99,105,0.49
2026-03-02,Region A,P027,76,81,1.71
2026-03-02,Region A,P028,140,146,1.11
2026-03-02,Region A,P029,150,154,0.46
2026-03-02,Region A,P030,118,120,0.0
2026-03-02,Region B,P001,95,97,0.11
2026-03-02,Region B,P002,151,158,1.2
2026-03-02,Region B,P003,91,93,0.25
2026-03-02,Region B,P004,110,112,0.57
2026-03-02,Region B,P005,102,105,0.57
2026-03-02,Region B,P006,81,86,1.12
2026-03-02,Region B,P007,100,102,0.08
2026-03-02,Region B,P008,148,154,0.56
2026-03-02,Region B,P009,147,155,0.77
2026-03-02,Region B,P010,145,151,1.21
2026-03-02,Region B,P011,118,121,0.66
2026-03-02,Region B,P012,142,149,1.47
2026-03-02,Region B,P013,120,128,2.04
2026-03-02,Region B,P014,147,156,1.16
2026-03-02,Region B,P015,92,95,0.98
2026-03-02,Region B,P016,140,149,1.36
2026-03-02,Region B,P017,96,98,1.17
2026-03-02,Region B,P018,109,116,0.95
2026-03-02,Region B,P019,85,90,1.63
2026-03-02,Region B,P020,78,83,1.8
2026-03-02,Region B,P021,117,119,0.35
2026-03-02,Region B,P022,129,137,0.48
2026-03-02,Region B,P023,123,128,0.69
2026-03-02,Region B,P024,123,129,1.04
2026-03-02,Region B,P025,85,88,0.0
2026-03-02,Region B,P026,108,114,1.8
2026-03-02,Region B,P027,113,118,0.28
2026-03-02,Region B,P028,105,108,1.41
2026-03-02,Region B,P029,140,149,2.04
2026-03-02,Region B,P030,152,157,2.06
2026-03-02,Region C,P001,101,104,0.0
2026-03-02,Region C,P002,119,125,2.14
2026-03-02,Region C,P003,116,119,0.96
2026-03-02,Region C,P004,82,84,0.62
2026-03-02,Region C,P005,86,89,0.52
2026-03-02,Region C,P006,143,148,0.73
2026-03-02,Region C,P007,95,101,1.31
2026-03-02,Region C,P008,82,84,0.68
2026-03-02,Region C,P009,105,108,0.81
2026-03-02,Region C,P010,84,88,1.75
2026-03-02,Region C,P011,77,82,1.21
2026-03-02,Region C,P012,154,159,0.29
2026-03-02,Region C,P013,107,114,1.94
2026-03-02,Region C,P014,98,104,1.54
2026-03-02,Region C,P015,103,109,1.63
2026-03-02,Region C,P016,98,103,1.1
2026-03-02,Region C,P017,131,133,0.56
2026-03-02,Region C,P018,102,105,0.08
2026-03-02,Region C,P019,96,99,0.0
2026-03-02,Region C,P020,104,106,0.49
2026-03-02,Region C,P021,97,100,1.99
2026-03-02,Region C,P022,140,146,0.98
2026-03-02,Region C,P023,151,156,0.93
2026-03-02,Region C,P024,107,110,0.89
2026-03-02,Region C,P025,148,158,0.84
2026-03-02,Region C,P026,142,146,0.6
2026-03-02,Region C,P027,112,119,1.1
2026-03-02,Region C,P028,88,91,0.98
2026-03-02,Region C,P029,94,98,1.27
2026-03-02,Region C,P030,134,139,1.3
2026-03-02,Region D,P001,78,80,0.71
2026-03-02,Region D,P002,90,95,1.24
2026-03-02,Region D,P003,103,109,1.22
2026-03-02,Region D,P004,93,96,1.58
2026-03-02,Region D,P005,111,116,0.63
2026-03-02,Region D,P006,149,154,0.0
2026-03-02,Region D,P007,145,153,1.35
2026-03-02,Region D,P008,113,120,0.76
2026-03-02,Region D,P009,123,130,0.56
2026-03-02,Region D,P010,143,151,1.25
2026-03-02,Region D,P011,75,80,1.54
2026-03-02,Region D,P012,108,115,1.49
2026-03-02,Region D,P013,97,103,0.77
2026-03-02,Region D,P014,124,126,0.56
2026-03-02,Region D,P015,129,132,0.81
2026-03-02,Region D,P016,86,91,0.42
2026-03-02,Region D,P017,84,88,1.15
2026-03-02,Region D,P018,140,147,0.88
2026-03-02,Region D,P019,102,108,1.01
2026-03-02,Region D,P020,87,90,0.84
2026-03-02,Region D,P021,96,99,0.34
2026-03-02,Region D,P022,94,100,0.95
2026-03-02,Region D,P023,98,104,2.21
2026-03-02,Region D,P024,93,97,1.54
2026-03-02,Region D,P025,122,127,0.45
2026-03-02,Region D,P026,116,122,0.95
2026-03-02,Region D,P027,129,137,1.07
2026-03-02,Region D,P028,99,103,0.23
2026-03-02,Region D,P029,104,109,1.09
2026-03-02,Region D,P030,80,82,0.71
2026-03-03,Region A,P001,150,153,0.0
2026-03-03,Region A,P002,130,134,0.67
2026-03-03,Region A,P003,91,96,2.05
2026-03-03,Region A,P004,138,140,0.15
2026-03-03,Region A,P005,121,125,0.55
2026-03-03,Region A,P006,79,82,1.01
2026-03-03,Region A,P007,128,130,0.82
2026-03-03,Region A,P008,127,133,0.51
2026-03-03,Region A,P009,86,91,1.43
2026-03-03,Region A,P010,91,93,0.85
2026-03-03,Region A,P011,114,116,0.0
2026-03-03,Region A,P012,136,141,0.16
2026-03-03,Region A,P013,130,133,0.04
2026-03-03,Region A,P014,91,96,1.39
2026-03-03,Region A,P015,105,108,0.0
2026-03-03,Region A,P016,125,128,0.05
2026-03-03,Region A,P017,141,145,0.6
2026-03-03,Region A,P018,98,103,0.12
2026-03-03,Region A,P019,137,140,0.07
2026-03-03,Region A,P020,114,117,1.03
2026-03-03,Region A,P021,119,124,0.0
2026-03-03,Region A,P022,115,119,1.45
2026-03-03,Region A,P023,123,125,0.93
2026-03-03,Region A,P024,150,159,1.12
2026-03-03,Region A,P025,98,101,1.03
2026-03-03,Region A,P026,101,104,0.07
2026-03-03,Region A,P027,132,136,0.09
2026-03-03,Region A,P028,99,103,0.17
2026-03-03,Region A,P029,135,143,1.18
2026-03-03,Region A,P030,146,155,1.85
2026-03-03,Region B,P001,110,114,1.23
2026-03-03,Region B,P002,110,117,1.45
2026-03-03,Region B,P003,144,150,1.46
2026-03-03,Region B,P004,85,89,1.23
2026-03-03,Region B,P005,75,80,2.39
2026-03-03,Region B,P006,138,146,0.23
2026-03-03,Region B,P007,93,98,1.14
2026-03-03,Region B,P008,94,99,0.62
2026-03-03,Region B,P009,115,119,0.0
2026-03-03,Region B,P010,118,121,0.57
2026-03-03,Region B,P011,105,108,0.81
2026-03-03,Region B,P012,120,123,0.0
2026-03-03,Region B,P013,97,102,0.43
2026-03-03,Region B,P014,99,103,2.11
2026-03-03,Region B,P015,96,99,1.92
2026-03-03,Region B,P016,104,106,0.86
2026-03-03,Region B,P017,109,113,0.53
2026-03-03,Region B,P018,132,136,1.1
2026-03-03,Region B,P019,101,107,2.4
2026-03-03,Region B,P020,101,108,1.55
2026-03-03,Region B,P021,154,156,0.39
2026-03-03,Region B,P022,152,157,0.0
2026-03-03,Region B,P023,129,135,0.0
2026-03-03,Region B,P024,94,96,0.27
2026-03-03,Region B,P025,147,150,0.0
2026-03-03,Region B,P026,147,154,0.76
2026-03-03,Region B,P027,122,127,0.3
2026-03-03,Region B,P028,151,159,1.13
2026-03-03,Region B,P029,122,128,1.62
2026-03-03,Region B,P030,139,144,0.0
2026-03-03,Region C,P001,83,85,0.0
2026-03-03,Region C,P002,103,108,0.14
2026-03-03,Region C,P003,140,147,0.93
2026-03-03,Region C,P004,122,127,0.08
2026-03-03,Region C,P005,117,119,0.94
2026-03-03,Region C,P006,112,117,0.9
2026-03-03,Region C,P007,138,146,1.2
2026-03-03,Region C,P008,124,129,1.03
2026-03-03,Region C,P009,140,143,0.42
2026-03-03,Region C,P010,109,116,1.9
2026-03-03,Region C,P011,150,157,0.51
2026-03-03,Region C,P012,94,100,0.8
2026-03-03,Region C,P013,152,154,0.4
2026-03-03,Region C,P014,105,112,1.44
2026-03-03,Region C,P015,144,147,0.03
2026-03-03,Region C,P016,102,105,1.27
2026-03-03,Region C,P017,106,108,0.62
2026-03-03,Region C,P018,141,147,1.01
2026-03-03,Region C,P019,82,86,0.89
2026-03-03,Region C,P020,126,133,0.74
2026-03-03,Region C,P021,85,89,0.53
2026-03-03,Region C,P022,148,158,1.14
2026-03-03,Region C,P023,134,140,0.0
2026-03-03,Region C,P024,123,131,1.07
2026-03-03,Region C,P025,92,98,1.46
2026-03-03,Region C,P026,108,111,0.65
2026-03-03,Region C,P027,78,80,1.04
2026-03-03,Region C,P028,89,91,0.67
2026-03-03,Region C,P029,112,116,1.12
2026-03-03,Region C,P030,123,127,0.99
2026-03-03,Region D,P001,143,146,0.24
2026-03-03,Region D,P002,116,123,1.43
2026-03-03,Region D,P003,107,112,0.24
2026-03-03,Region D,P004,126,130,0.46
2026-03-03,Region D,P005,82,83,0.05
2026-03-03,Region D,P006,148,152,0.86
2026-03-03,Region D,P007,148,157,0.28
2026-03-03,Region D,P008,110,114,0.32
2026-03-03,Region D,P009,100,105,1.35
2026-03-03,Region D,P010,118,122,0.0
2026-03-03,Region D,P011,123,131,1.01
2026-03-03,Region D,P012,106,108,0.34
2026-03-03,Region D,P013,99,104,0.81
2026-03-03,Region D,P014,112,119,1.24
2026-03-03,Region D,P015,114,118,0.67
2026-03-03,Region D,P016,85,89,0.36
2026-03-03,Region D,P017,84,88,0.84
2026-03-03,Region D,P018,153,159,1.59
2026-03-03,Region D,P019,94,97,1.08
2026-03-03,Region D,P020,95,98,0.0
2026-03-03,Region D,P021,140,146,0.37
2026-03-03,Region D,P022,125,127,0.33
2026-03-03,Region D,P023,97,103,1.39
2026-03-03,Region D,P024,152,155,1.31
2026-03-03,Region D,P025,80,85,1.62
2026-03-03,Region D,P026,96,99,0.29
2026-03-03,Region D,P027,104,109,1.83
2026-03-03,Region D,P028,89,92,0.31
2026-03-03,Region D,P029,98,101,0.96
2026-03-03,Region D,P030,131,139,1.27
2026-03-04,Region A,P001,149,159,1.93
2026-03-04,Region A,P002,112,115,0.0
2026-03-04,Region A,P003,130,132,0.0
2026-03-04,Region A,P004,123,125,1.03
2026-03-04,Region A,P005,146,155,1.31
2026-03-04,Region A,P006,94,97,0.0
2026-03-04,Region A,P007,136,142,0.79
2026-03-04,Region A,P008,81,85,0.0
2026-03-04,Region A,P009,124,128,0.3
2026-03-04,Region A,P010,138,142,0.7
2026-03-04,Region A,P011,98,103,1.28
2026-03-04,Region A,P012,101,104,0.0
2026-03-04,Region A,P013,89,91,0.63
2026-03-04,Region A,P014,79,82,1.22
2026-03-04,Region A,P015,133,139,1.28
2026-03-04,Region A,P016,84,87,0.83
2026-03-04,Region A,P017,148,152,0.21
2026-03-04,Region A,P018,92,97,1.11
2026-03-04,Region A,P019,128,133,0.86
2026-03-04,Region A,P020,130,133,0.37
2026-03-04,Region A,P021,93,95,0.61
2026-03-04,Region A,P022,75,80,1.66
2026-03-04,Region A,P023,105,110,0.83
2026-03-04,Region A,P024,141,145,0.43
2026-03-04,Region A,P025,106,108,0.41
2026-03-04,Region A,P026,97,103,1.36
2026-03-04,Region A,P027,125,132,0.63
2026-03-04,Region A,P028,116,124,1.45
2026-03-04,Region A,P029,148,154,0.4
2026-03-04,Region A,P030,136,138,0.0
2026-03-04,Region B,P001,102,104,0.0
2026-03-04,Region B,P002,114,119,1.31
2026-03-04,Region B,P003,125,128,0.93
2026-03-04,Region B,P004,150,159,1.63
2026-03-04,Region B,P005,138,145,1.09
2026-03-04,Region B,P006,96,99,0.72
2026-03-04,Region B,P007,91,94,0.91
2026-03-04,Region B,P008,120,123,0.12
2026-03-04,Region B,P009,110,117,0.86
2026-03-04,Region B,P010,150,154,1.03
2026-03-04,Region B,P011,78,80,0.42
2026-03-04,Region B,P012,79,84,2.07
2026-03-04,Region B,P013,105,109,1.5
2026-03-04,Region B,P014,116,119,0.0
2026-03-04,Region B,P015,145,148,0.64
2026-03-04,Region B,P016,85,90,0.66
2026-03-04,Region B,P017,94,96,1.1
2026-03-04,Region B,P018,142,145,0.0
2026-03-04,Region B,P019,79,83,1.27
2026-03-04,Region B,P020,112,118,1.32
2026-03-04,Region B,P021,103,108,0.97
2026-03-04,Region B,P022,136,144,1.34
2026-03-04,Region B,P023,101,105,0.61
2026-03-04,Region B,P024,77,80,0.0
2026-03-04,Region B,P025,127,135,1.73
2026-03-04,Region B,P026,87,92,1.1
2026-03-04,Region B,P027,81,84,0.32
2026-03-04,Region B,P028,87,91,0.63
2026-03-04,Region B,P029,93,98,1.04
2026-03-04,Region B,P030,110,115,1.04
2026-03-04,Region C,P001,111,114,0.69
2026-03-04,Region C,P002,83,86,0.93
2026-03-04,Region C,P003,131,135,0.0
2026-03-04,Region C,P004,76,80,1.2
2026-03-04,Region C,P005,125,133,2.01
2026-03-04,Region C,P006,113,120,1.47
2026-03-04,Region C,P007,105,107,0.57
2026-03-04,Region C,P008,127,129,0.0
2026-03-04,Region C,P009,134,139,0.44
2026-03-04,Region C,P010,145,148,0.37
2026-03-04,Region C,P011,105,111,1.27
2026-03-04,Region C,P012,119,123,0.0
2026-03-04,Region C,P013,111,116,1.6
2026-03-04,Region C,P014,135,143,1.61
2026-03-04,Region C,P015,92,94,0.13
2026-03-04,Region C,P016,121,123,0.18
2026-03-04,Region C,P017,109,115,0.88
2026-03-04,Region C,P018,146,152,0.79
2026-03-04,Region C,P019,122,130,1.12
2026-03-04,Region C,P020,152,156,0.0
2026-03-04,Region C,P021,127,130,1.1
2026-03-04,Region C,P022,120,123,0.98
2026-03-04,Region C,P023,112,119,0.35
2026-03-04,Region C,P024,90,95,1.21
2026-03-04,Region C,P025,131,135,0.37
2026-03-04,Region C,P026,139,143,0.18
2026-03-04,Region C,P027,87,92,1.03
2026-03-04,Region C,P028,83,86,0.95
2026-03-04,Region C,P029,76,80,1.28
2026-03-04,Region C,P030,137,141,0.08
2026-03-04,Region D,P001,148,155,1.37
2026-03-04,Region D,P002,114,122,1.29
2026-03-04,Region D,P003,126,129,0.68
2026-03-04,Region D,P004,151,154,0.0
2026-03-04,Region D,P005,153,158,0.2
2026-03-04,Region D,P006,107,112,0.69
2026-03-04,Region D,P007,108,114,0.99
2026-03-04,Region D,P008,130,137,1.63
2026-03-04,Region D,P009,143,151,1.44
2026-03-04,Region D,P010,148,150,0.0
2026-03-04,Region D,P011,107,111,1.01
2026-03-04,Region D,P012,124,127,0.38
2026-03-04,Region D,P013,115,119,0.18
2026-03-04,Region D,P014,107,114,2.28
2026-03-04,Region D,P015,122,128,1.54
2026-03-04,Region D,P016,88,91,0.9
2026-03-04,Region D,P017,134,142,1.5
2026-03-04,Region D,P018,99,102,1.15
2026-03-04,Region D,P019,127,130,0.38
2026-03-04,Region D,P020,124,132,1.11
2026-03-04,Region D,P021,138,147,1.35
2026-03-04,Region D,P022,85,89,0.19
2026-03-04,Region D,P023,123,128,1.56
2026-03-04,Region D,P024,129,134,0.38
2026-03-04,Region D,P025,109,115,0.2
2026-03-04,Region D,P026,153,157,0.35
2026-03-04,Region D,P027,87,90,0.11
2026-03-04,Region D,P028,110,113,0.0
2026-03-04,Region D,P029,99,106,1.33
2026-03-04,Region D,P030,106,108,0.19
2026-03-05,Region A,P001,132,138,0.94
2026-03-05,Region A,P002,89,94,1.36
2026-03-05,Region A,P003,130,134,0.1
2026-03-05,Region A,P004,118,125,1.22
2026-03-05,Region A,P005,94,99,1.3
2026-03-05,Region A,P006,120,123,1.2
2026-03-05,Region A,P007,142,151,1.37
2026-03-05,Region A,P008,108,113,1.45
2026-03-05,Region A,P009,78,80,0.81
2026-03-05,Region A,P010,91,95,1.12
2026-03-05,Region A,P011,142,148,0.46
2026-03-05,Region A,P012,140,147,1.06
2026-03-05,Region A,P013,123,129,1.34
2026-03-05,Region A,P014,133,135,0.02
2026-03-05,Region A,P015,116,123,2.03
2026-03-05,Region A,P016,140,146,0.34
2026-03-05,Region A,P017,143,150,1.97
2026-03-05,Region A,P018,140,142,0.73
2026-03-05,Region A,P019,82,85,0.73
2026-03-05,Region A,P020,78,83,0.58
2026-03-05,Region A,P021,150,157,1.03
2026-03-05,Region A,P022,94,98,0.89
2026-03-05,Region A,P023,120,125,1.42
2026-03-05,Region A,P024,89,95,1.39
2026-03-05,Region A,P025,84,88,0.54
2026-03-05,Region A,P026,77,81,1.58
2026-03-05,Region A,P027,123,130,0.37
2026-03-05,Region A,P028,96,101,1.4
2026-03-05,Region A,P029,128,134,0.64
2026-03-05,Region A,P030,132,137,0.52
2026-03-05,Region B,P001,78,82,1.1
2026-03-05,Region B,P002,141,144,0.31
2026-03-05,Region B,P003,129,135,1.35
2026-03-05,Region B,P004,119,126,0.15
2026-03-05,Region B,P005,123,131,1.06
2026-03-05,Region B,P006,91,94,1.01
2026-03-05,Region B,P007,88,94,2.18
2026-03-05,Region B,P008,112,116,0.58
2026-03-05,Region B,P009,98,100,0.12
2026-03-05,Region B,P010,134,142,1.38
2026-03-05,Region B,P011,111,117,1.55
2026-03-05,Region B,P012,149,155,1.7
2026-03-05,Region B,P013,77,82,1.58
2026-03-05,Region B,P014,123,126,0.14
2026-03-05,Region B,P015,124,130,2.23
2026-03-05,Region B,P016,115,121,0.4
2026-03-05,Region B,P017,99,103,1.6
2026-03-05,Region B,P018,138,142,0.37
2026-03-05,Region B,P019,149,156,1.8
2026-03-05,Region B,P020,142,145,0.17
2026-03-05,Region B,P021,125,131,0.17
2026-03-05,Region B,P022,125,132,1.0
2026-03-05,Region B,P023,77,80,0.38
2026-03-05,Region B,P024,149,159,1.98
2026-03-05,Region B,P025,114,120,1.5
2026-03-05,Region B,P026,144,153,1.5
2026-03-05,Region B,P027,90,94,0.85
2026-03-05,Region B,P028,105,109,0.77
2026-03-05,Region B,P029,139,146,1.14
2026-03-05,Region B,P030,148,157,1.73
2026-03-05,Region C,P001,96,101,0.46
2026-03-05,Region C,P002,75,80,1.89
2026-03-05,Region C,P003,83,85,0.05
2026-03-05,Region C,P004,139,147,1.06
2026-03-05,Region C,P005,133,137,0.0
2026-03-05,Region C,P006,103,106,0.0
2026-03-05,Region C,P007,113,117,0.8
2026-03-05,Region C,P008,114,116,0.16
2026-03-05,Region C,P009,127,131,1.01
2026-03-05,Region C,P010,87,89,0.32
2026-03-05,Region C,P011,126,133,1.66
2026-03-05,Region C,P012,136,140,0.96
2026-03-05,Region C,P013,92,97,1.39
2026-03-05,Region C,P014,86,90,1.36
2026-03-05,Region C,P015,105,110,0.88
2026-03-05,Region C,P016,137,141,0.0
2026-03-05,Region C,P017,120,128,1.06
2026-03-05,Region C,P018,106,109,1.08
2026-03-05,Region C,P019,135,138,0.38
2026-03-05,Region C,P020,114,119,1.77
2026-03-05,Region C,P021,142,148,1.26
2026-03-05,Region C,P022,108,113,0.13
2026-03-05,Region C,P023,125,129,0.9
2026-03-05,Region C,P024,96,101,0.72
2026-03-05,Region C,P025,123,125,1.6
2026-03-05,Region C,P026,124,130,0.74
2026-03-05,Region C,P027,137,143,0.0
2026-03-05,Region C,P028,84,88,0.58
2026-03-05,Region C,P029,87,89,0.09
2026-03-05,Region C,P030,153,156,0.22
2026-03-05,Region D,P001,141,146,1.51
2026-03-05,Region D,P002,129,137,2.29
2026-03-05,Region D,P003,137,146,1.61
2026-03-05,Region D,P004,90,93,0.0
2026-03-05,Region D,P005,105,107,0.39
2026-03-05,Region D,P006,79,83,0.89
2026-03-05,Region D,P007,106,113,1.81
2026-03-05,Region D,P008,79,83,1.04
2026-03-05,Region D,P009,119,124,0.61
2026-03-05,Region D,P010,80,84,0.75
2026-03-05,Region D,P011,95,98,0.1
2026-03-05,Region D,P012,119,125,0.46
2026-03-05,Region D,P013,132,138,0.75
2026-03-05,Region D,P014,134,143,1.92
2026-03-05,Region D,P015,141,150,0.98
2026-03-05,Region D,P016,124,131,0.65
2026-03-05,Region D,P017,103,108,1.8
2026-03-05,Region D,P018,131,137,1.12
2026-03-05,Region D,P019,144,149,0.0
2026-03-05,Region D,P020,81,85,0.47
2026-03-05,Region D,P021,118,120,0.47
2026-03-05,Region D,P022,134,143,1.78
2026-03-05,Region D,P023,133,138,0.7
2026-03-05,Region D,P024,134,138,1.59
2026-03-05,Region D,P025,95,99,0.95
2026-03-05,Region D,P026,96,99,0.0
2026-03-05,Region D,P027,84,88,1.31
2026-03-05,Region D,P028,91,94,0.64
2026-03-05,Region D,P029,99,105,1.63
2026-03-05,Region D,P030,87,92,1.57
2026-03-06,Region A,P001,109,111,0.7
2026-03-06,Region A,P002,138,147,1.6
2026-03-06,Region A,P003,131,133,0.12
2026-03-06,Region A,P004,130,136,0.7
2026-03-06,Region A,P005,134,139,1.18
2026-03-06,Region A,P006,98,101,0.21
2026-03-06,Region A,P007,132,138,0.28
2026-03-06,Region A,P008,119,122,0.0
2026-03-06,Region A,P009,101,103,0.15
2026-03-06,Region A,P010,92,96,0.11
2026-03-06,Region A,P011,97,101,1.0
2026-03-06,Region A,P012,94,99,2.36
2026-03-06,Region A,P013,82,84,0.43
2026-03-06,Region A,P014,95,101,1.38
2026-03-06,Region A,P015,139,145,1.61
2026-03-06,Region A,P016,147,152,2.09
2026-03-06,Region A,P017,125,132,1.69
2026-03-06,Region A,P018,107,114,1.11
2026-03-06,Region A,P019,156,159,0.0
2026-03-06,Region A,P020,113,118,0.31
2026-03-06,Region A,P021,130,136,1.23
2026-03-06,Region A,P022,111,115,0.49
2026-03-06,Region A,P023,105,107,0.48
2026-03-06,Region A,P024,136,141,0.38
2026-03-06,Region A,P025,140,147,1.91
2026-03-06,Region A,P026,118,126,3.11
2026-03-06,Region A,P027,110,113,0.55
2026-03-06,Region A,P028,97,103,1.29
2026-03-06,Region A,P029,142,145,0.12
2026-03-06,Region A,P030,141,146,0.18
2026-03-06,Region B,P001,112,115,0.07
2026-03-06,Region B,P002,90,95,1.21
2026-03-06,Region B,P003,93,95,0.43
